mark;title;abstract;journal;authors;pubmed_keywords;;;;;;;;;;;;;;
0;Long-term follow-up of cervical disease in women screened by cytology and HPV testing: results from the HART study.;Abstract BACKGROUND: Several studies have shown that testing for high-risk human papillomavirus (HPV) types results in an improved sensitivity for CIN2+, compared with cytology, although with a somewhat lower specificity. METHODS: We obtained follow-up results, with at least one smear after participation in the HART study, which compared HPV testing (HC-II) with cytology as a primary screening modality. RESULTS: With a median follow-up of 6 years, 42 additional cases of CIN2+ were identified. women who were HPV positive at baseline were more likely to develop CIN2+ than those who were HPV negative (hazard ratio (HR) 17.2. 95% confidence interval (CI) (9.3-31.6)) and the risk increased with increasing viral load. Compared with HPV-negative women (relative light unit (RLU) <1), the HR (95% CI) was 5.4 (1.6, 18.2) for 1-10 RLU and 25.5 (13.6, 47.9) for RLU > or = 10. Positive cytology (borderline or worse compared with negative) was also predictive of developing CIN2, although to a lesser extent (HR 8.7. 95% CI (4.5-17.1)). Only one case of CIN3 and three cases of CIN2 were found in women who showed a positive cytology result but were HPV negative at baseline. CONCLUSION: After 5 years of follow-up, CIN2+ occurred in 0.23% of women who were HPV negative at baseline compared with 0.48% of women who showed a negative cytology result, indicating a much longer low-risk interval for CIN2+ after HPV testing.;Br J Cancer. 2010 Apr 27.102(9):1405-10. doi: 10.1038/sj.bjc.6605619. Epub 2010 Mar 30.;Mesher D1, Szarewski A, Cadman L, Cubie H, Kitchener H, Luesley D, Menon U, Hulman G, Desai M, Ho L, Terry G, Williams A, Sasieni P, Cuzick J.;Research Support, Non-U.S. Gov't,Adult,Alphapapillomavirus/isolation & purification*,Cervical Intraepithelial Neoplasia/epidemiology,Cervical Intraepithelial Neoplasia/pathology,Cervical Intraepithelial Neoplasia/virology,England,Female,Humans,Incidence,Middle Aged,Neoplasm Staging,Papillomavirus Infections/epidemiology,Papillomavirus Infections/pathology,Proportional Hazards Models,Risk Assessment,Uterine Cervical Diseases/pathology*,Uterine Cervical Diseases/virology,Vaginal Smears,Viral Load,CZB/4/658/Chief Scientist Office/United Kingdom,C569/A1040/Cancer Research UK/United Kingdom;;;;;;;;;;;;;;
0;Lifetime socioeconomic position and mortality: prospective observational study.;Abstract OBJECTIVES: To assess the influence of socioeconomic position over a lifetime on risk factors for cardiovascular disease, on morbidity, and on mortality from various causes. DESIGN: Prospective observational study with 21 years of follow up. Social class was determined as manual or non-manual at three stages of participants' lives: from the social class of their father's job, the social class of their first job, and the social class of their job at the time of screening. A cumulative social class indicator was constructed, ranging from non-manual social class at all three stages of life to manual social class at all three stages. SETTING: 27 workplaces in the west of Scotland. PARTICIPANTS: 5766 men aged 35-64 at the time of examination. MAIN OUTCOME MEASURES: Prevalence and level of risk factors for cardiovascular disease. morbidity. and mortality from broad causes of death. RESULTS: From non-manual social class locations at all three life stages to manual at all stages there were strong positive trends for blood pressure, body mass index, current cigarette smoking, angina, and bronchitis. Inverse trends were seen for height, cholesterol concentration, lung function, and being an ex-smoker. 1580 men died during follow up. Age adjusted relative death rates in comparison with the men of non-manual social class locations at all three stages of life were 1.29 (95% confidence interval 1.08 to 1.56) in men of two non-manual and one manual social class. 1.45 (1.21 to 1.73) in men of two manual and one non-manual social class. and 1.71 (1.46 to 2.01) in men of manual social class at all three stages. Mortality from cardiovascular disease showed a similar graded association with cumulative social class. Mortality from cancer was mainly raised among men of manual social class at all three stages. Adjustment for a wide range of risk factors caused little attenuation in the association of cumulative social class with mortality from all causes and from cardiovascular disease. greater attenuation was seen in the association with mortality from non-cardiovascular, non-cancer disease. Fathers having a manual [corrected] occupation was strongly associated with mortality from cardiovascular disease: relative rate 1.41 (1.15 to 1.72). Participants' social class at the time of screening was more strongly associated than the other social class indicators with mortality from cancer and from non-cardiovascular, non-cancer causes. CONCLUSIONS: Socioeconomic factors acting over the lifetime affect health and risk of premature death. The relative importance of influences at different stages varies for the cause of death. Studies with data on socioeconomic circumstances at only one stage of life are inadequate for fully elucidating the contribution of socioeconomic factors to health and mortality risk.;BMJ. 1997 Feb 22.314(7080):547-52.;Smith GD1, Hart C, Blane D, Gillis C, Hawthorne V.;Research Support, Non-U.S. Gov't,Adult,Cardiovascular Diseases/mortality*,Cause of Death,Cohort Studies,Humans,Male,Middle Aged,Prevalence,Proportional Hazards Models,Prospective Studies,Risk Factors,Scotland/epidemiology,Social Class*,Socioeconomic Factors;;;;;;;;;;;;;;
0;Life expectancy and the value of early detection.;Abstract This paper presents a model of the benefits and costs of early detection of asymptomatic disease as they vary by age. The benefits of early detection tend toward zero as the risk of death from competing causes increases. Costs per detected case also decline with age, assuming that disease incidence rises with age, but are always strictly positive. On balance, there is always an age limit beyond which the costs associated with early detection outweigh the benefits. Application of the model to prostate cancer screening suggests that early detection above age 70 or so is not cost-effective.;J Health Econ. 2005 Sep.24(5):891-906. Epub 2005 Apr 19.;Howard DH1.;Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, P.H.S.,Adult,Aged,Aged, 80 and over,Cost-Benefit Analysis,Early Diagnosis,Humans,Life Expectancy*,Male,Middle Aged,Models, Economic,Prostatic Neoplasms/diagnosis*,United States,U48 DP000043/DP/NCCDPHP CDC HHS/United States;;;;;;;;;;;;;;
0;League tables of breast cancer screening units: worst-case and best-case scenario ratings helped in exposing real differences between performance ratings.;Abstract OBJECTIVES: Data on the performance of health boards, hospitals and medical specialists, etc., are being collected at various levels in the health-care system and are often presented as league tables. These tables ignore natural variation and/or confounders, and this introduces uncertainty about their interpretation. The purpose of this study was to devise and illustrate a method to expose the real difference between the ratings in league tables. METHODS: Two values per rating were added to the league tables: the best-case scenario and the worst-case scenario. True performance will lie somewhere between these two values. The method is illustrated using data from the Dutch breast cancer screening programme. RESULTS: By focusing on one performance indicator and one confounder, it was possible to show shifts in the rating order of breast cancer screening units and thus expose the uncertainty about the true performance of each screening unit. CONCLUSIONS: The worst-case and best-case scenario ratings demonstrated the uncertainty within the ratings of a league table. League tables should therefore only be used with great caution and after providing the public with sufficient information.;J Med Screen. 2009.16(2):67-72. doi: 10.1258/jms.2009.008093.;Lemmers O1, Broeders M, Verbeek A, Heeten Gd, Holland R, Borm GF.;Age Factors,Aged,Benchmarking,Breast Neoplasms/diagnosis*,Delivery of Health Care,Early Detection of Cancer*,Female,Humans,Mass Screening/methods*,Middle Aged,Models, Econometric,Public Health Administration,Quality Assurance, Health Care,Quality of Health Care,Uncertainty;;;;;;;;;;;;;;
0;Knowledge creation using artificial intelligence: a twin approach to improve breast screening attendance.;Abstract Knowledge management (KM) is rapidly becoming established as a core organizational element within the healthcare industry to assist in the delivery of better patient care. KM is a cyclical process which typically starts with knowledge creation (KC), progresses to knowledge sharing, knowledge accessibility and eventually results in new KC (in the same or a related domain). KC plays a significant role in KM as it creates the necessary seeds for propagating many more knowledge cycles. This paper addresses the potential of KC in the context of the UK's National Health Service (NHS) breast screening service. KC can be automated to a greater extent by embedding processes within an artificial intelligence (AI) based environment. The UK breast screening service is concerned about non-attendance and this paper discusses issues pertaining to increasing attendance.;Conf Proc IEEE Eng Med Biol Soc. 2006.1:4070-3.;Baskaran V1, Bali RK, Arochena H, Naguib RN, Wallis M, Wheaton M.;Research Support, Non-U.S. Gov't,Artificial Intelligence*,Breast Neoplasms/epidemiology*,Female,Health Knowledge, Attitudes, Practice,Humans,Knowledge,Mass Screening/methods*,State Medicine,United Kingdom/epidemiology;;;;;;;;;;;;;;
0;Investigation of estrogen receptor (ESR1) for breast cancer from traditional Chinese medicine.;Abstract Recently, an important topic of breast cancer had been published in 2013. In this report, estrogen receptor (ESR1) had defined the relation of hormone-cause breast cancer. The screening of traditional Chinese medicine (TCM) database has found the molecular compounds by simulating molecular docking and molecular dynamics to regulate ESR1. S-Allylmercaptocysteine and 5-hydroxy-L-tryptophan are selected according to the highest docking score than that of other TCM compounds and Raloxifene (control). The simulation from molecular dynamics is helpful in analyzing and detecting the protein-ligand interactions. After a comparing the control and the Apo form, then based on the docking poses, hydrophobic interactions, hydrogen bond and structure variations, this research postulates that S-allylmercaptocysteine may be more appropriate than other compounds for protein-ligand interaction.;Biomed Res Int. 2014.2014:321486. doi: 10.1155/2014/321486. Epub 2014 Jun 26.;Hung TC1, Lee WY2, Chen KB3, Chan YC4, Chen CY5.;Research Support, Non-U.S. Gov't,5-Hydroxytryptophan/chemistry,Binding Sites,Breast Neoplasms/drug therapy*,Computational Biology,Computer Simulation,Crystallography, X-Ray,Cysteine/analogs & derivatives,Cysteine/chemistry,Databases, Factual,Drug Design,Estrogen Receptor alpha/chemistry*,Female,Humans,Ligands,Medicine, Chinese Traditional*,Molecular Docking Simulation,Protein Binding,Protein Conformation,Proteins/chemistry,Estrogen Receptor alpha,Ligands,Proteins,S-allylmercaptocysteine,estrogen receptor alpha, human,5-Hydroxytryptophan,Cysteine;;;;;;;;;;;;;;
0;Interpreting overdiagnosis estimates in population-based mammography screening.;Abstract Estimates of overdiagnosis in mammography screening range from 1% to 54%. This review explains such variations using gradual implementation of mammography screening in the Netherlands as an example. Breast cancer incidence without screening was predicted with a micro-simulation model. Observed breast cancer incidence (including ductal carcinoma in situ and invasive breast cancer) was modeled and compared with predicted incidence without screening during various phases of screening program implementation. Overdiagnosis was calculated as the difference between the modeled number of breast cancers with and the predicted number of breast cancers without screening. Estimating overdiagnosis annually between 1990 and 2006 illustrated the importance of the time at which overdiagnosis is measured. Overdiagnosis was also calculated using several estimators identified from the literature. The estimated overdiagnosis rate peaked during the implementation phase of screening, at 11.4% of all predicted cancers in women aged 0-100 years in the absence of screening. At steady-state screening, in 2006, this estimate had decreased to 2.8%. When different estimators were used, the overdiagnosis rate in 2006 ranged from 3.6% (screening age or older) to 9.7% (screening age only). The authors concluded that the estimated overdiagnosis rate in 2006 could vary by a factor of 3.5 when different denominators were used. Calculations based on earlier screening program phases may overestimate overdiagnosis by a factor 4. Sufficient follow-up and agreement regarding the chosen estimator are needed to obtain reliable estimates.;Epidemiol Rev. 2011.33:111-21. doi: 10.1093/epirev/mxr009. Epub 2011 Jun 27.;de Gelder R1, Heijnsdijk EA, van Ravesteyn NT, Fracheboud J, Draisma G, de Koning HJ.;Research Support, N.I.H., Extramural,Review,Age Factors,Aged,Breast Neoplasms/diagnosis*,Diagnostic Errors/statistics & numerical data*,Female,Humans,Mammography/adverse effects,Mammography/statistics & numerical data*,Mass Screening/adverse effects,Mass Screening/statistics & numerical data*,Middle Aged;;;;;;;;;;;;;;
0;Interhospital differences in cancer survivals in Japan. The Research Group for Population-based Cancer Registration in Japan.;Abstract The present study was an investigation of variations in cancer survival rates among hospitals in Japan, focusing in particular on the number of hospital beds as an institutional characteristic. Using data from 11 population-based cancer registries, the three-year survival rates for stomach cancer (n 1665), colorectal cancer (n 1090) and lung cancer (n 895) patients diagnosed in 1985 were calculated according to three different hospital categories (100-299, 300-499, 500+ beds). Cox's proportional hazards model was conducted, with adjustments for sex, age, clinical stage at diagnosis and treatment status, excluding patients who had been detected by screening (asymptomatic cases). The stomach and lung cancer patients treated in small hospitals (100-299 beds) were at a significantly higher risk of death than those treated in large hospitals (500+ beds) (hazard ratio (HR) = 1.36, 95% confidence interval (CI) = 1.11-1.65. HR = 1.41, 95% CI = 1.13-1.77, respectively). Similar findings were observed among colorectal cancer patients although they were not statistically significant. The findings can provide some information useful for the development of future public health policies aimed at controlling cancer mortality rates in our country.;Jpn J Clin Oncol. 1993 Jun.23(3):191-8.;Tanaka H1, Hiyama T, Hanai A, Fujimoto I.;Adult,Aged,Colorectal Neoplasms/mortality*,Colorectal Neoplasms/pathology,Female,Hospital Bed Capacity,Hospital Mortality*,Humans,Japan/epidemiology,Lung Neoplasms/mortality*,Lung Neoplasms/pathology,Male,Middle Aged,Neoplasm Staging,Proportional Hazards Models,Registries,Regression Analysis,Risk,Stomach Neoplasms/mortality*,Stomach Neoplasms/pathology,Survival Rate;;;;;;;;;;;;;;
0;Integration of architectural and cytologic driven image algorithms for prostate adenocarcinoma identification.;Abstract INTRODUCTION: The advent of digital slides offers new opportunities within the practice of pathology such as the use of image analysis techniques to facilitate computer aided diagnosis (CAD) solutions. Use of CAD holds promise to enable new levels of decision support and allow for additional layers of quality assurance and consistency in rendered diagnoses. However, the development and testing of prostate cancer CAD solutions requires a ground truth map of the cancer to enable the generation of receiver operator characteristic (ROC) curves. This requires a pathologist to annotate, or paint, each of the malignant glands in prostate cancer with an image editor software - a time consuming and exhaustive process. Recently, two CAD algorithms have been described: probabilistic pairwise Markov models (PPMM) and spatially-invariant vector quantization (SIVQ). Briefly, SIVQ operates as a highly sensitive and specific pattern matching algorithm, making it optimal for the identification of any epithelial morphology, whereas PPMM operates as a highly sensitive detector of malignant perturbations in glandular lumenal architecture. METHODS: By recapitulating algorithmically how a pathologist reviews prostate tissue sections, we created an algorithmic cascade of PPMM and SIVQ algorithms as previously described by Doyle el al. [1] where PPMM identifies the glands with abnormal lumenal architecture, and this area is then screened by SIVQ to identify the epithelium. RESULTS: The performance of this algorithm cascade was assessed qualitatively (with the use of heatmaps) and quantitatively (with the use of ROC curves) and demonstrates greater performance in the identification of malignant prostatic epithelium. CONCLUSION: This ability to semi-autonomously paint nearly all the malignant epithelium of prostate cancer has immediate applications to future prostate cancer CAD development as a validated ground truth generator. In addition, such an approach has potential applications as a pre-screening/quality assurance tool.;Anal Cell Pathol (Amst). 2012.35(4):251-65. doi: 10.3233/ACP-2012-0054.;Hipp J1, Monaco J, Kunju LP, Cheng J, Yagi Y, Rodriguez-Canales J, Emmert-Buck MR, Hewitt S, Feldman MD, Tomaszewski JE, Toner M, Tompkins RG, Flotte T, Lucas D, Gilbertson JR, Madabhushi A, Balis U.;Research Support, N.I.H., Extramural,Research Support, Non-U.S. Gov't,Adenocarcinoma/diagnosis*,Algorithms*,Diagnosis, Computer-Assisted/methods,Humans,Male,Markov Chains,Models, Statistical,Pattern Recognition, Automated/methods,Prostate/pathology*,Prostatic Neoplasms/diagnosis*,ROC Curve,R01CA136535-01/CA/NCI NIH HHS/United States,R03CA143991-01/CA/NCI NIH HHS/United States;;;;;;;;;;;;;;
0;Instrumental variables estimation of exposure effects on a time-to-event endpoint using structural cumulative survival models.;Abstract The use of instrumental variables for estimating the effect of an exposure on an outcome is popular in econometrics, and increasingly so in epidemiology. This increasing popularity may be attributed to the natural occurrence of instrumental variables in observational studies that incorporate elements of randomization, either by design or by nature (e.g., random inheritance of genes). Instrumental variables estimation of exposure effects is well established for continuous outcomes and to some extent for binary outcomes. It is, however, largely lacking for time-to-event outcomes because of complications due to censoring and survivorship bias. In this article, we make a novel proposal under a class of structural cumulative survival models which parameterize time-varying effects of a point exposure directly on the scale of the survival function. these models are essentially equivalent with a semi-parametric variant of the instrumental variables additive hazards model. We propose a class of recursive instrumental variable estimators for these exposure effects, and derive their large sample properties along with inferential tools. We examine the performance of the proposed method in simulation studies and illustrate it in a Mendelian randomization study to evaluate the effect of diabetes on mortality using data from the Health and Retirement Study. We further use the proposed method to investigate potential benefit from breast cancer screening on subsequent breast cancer mortality based on the HIP-study.;Biometrics. 2017 Dec.73(4):1140-1149. doi: 10.1111/biom.12699. Epub 2017 May 10.;Martinussen T1, Vansteelandt S2, Tchetgen Tchetgen EJ3, Zucker DM4.;Research Support, N.I.H., Extramural,Research Support, Non-U.S. Gov't,Biometry,Breast Neoplasms/mortality,Diabetes Mellitus/mortality,Female,Humans,Male,Models, Statistical*,Proportional Hazards Models*,R01 AI104459/AI/NIAID NIH HHS/United States,R01 ES020337/ES/NIEHS NIH HHS/United States;;;;;;;;;;;;;;
0;Infrared microspectroscopy and artificial neural networks in the diagnosis of cervical cancer.;Abstract Infrared spectra of 88 normal and 32 abnormal (mild to severe dysplasia) cervical smear samples were used as a databank to investigate the usefulness of artificial neural networks (ANN) in the diagnosis of cervical smears. The spectra were first reduced, using principal component analysis (PCA), to seven wavenumber components that are the major contributors to the variance. A number of different ANN architectures were investigated that could differentiate between normal and abnormal cervical smears. Although the ANNs were trained to differentiate only normal from abnormal smears, the results using an independent test data set indicated that within the abnormal category mild dysplasia could be distinguished from severe dysplasia. The results using this restricted data set indicate that neural networks coupled to infrared microspectroscopy could provide an alternative automated means of screening for cervical cancer.;Cell Mol Biol (Noisy-le-grand). 1998 Feb.44(1):179-87.;Romeo M1, Burden F, Quinn M, Wood B, McNaughton D.;Research Support, Non-U.S. Gov't,Female,Humans,Neural Networks (Computer)*,Spectrophotometry, Infrared/methods*,Uterine Cervical Dysplasia/classification,Uterine Cervical Dysplasia/diagnosis*,Uterine Cervical Dysplasia/pathology,Uterine Cervical Neoplasms/classification,Uterine Cervical Neoplasms/diagnosis*,Uterine Cervical Neoplasms/pathology,Vaginal Smears;;;;;;;;;;;;;;
0;Influences of ethnicity, treatment, and comorbidity on breast cancer survival in Hawaii.;Abstract The purpose of this study was to examine factors contributing to the ethnic discrepancies in breast cancer survival described previously. Through the use of the Hawaii Tumor Registry and insurance claims data, 1,052 breast cancer patients' survival times were examined in relation to demographics, disease characteristics, comorbidity, and treatment patterns as compared to national guidelines for breast cancer treatment. In stepwise and hierarchical Cox regression models, TNM stage was the strongest predictor of survival and explained all of the ethnic survival differences. In addition, comorbidity and treatment patterns were significant in predicting survival. In this population of health plan members, ethnic differences in survival were not a result of differential treatment, but due to variations in early detection. These results support the hypothesis that pre-existing conditions and treatment patterns are related to breast cancer survival even after controlling for stage at diagnosis indicating the usefulness of insurance claims data in this research field.;J Clin Epidemiol. 2003 Jul.56(7):678-85.;Maskarinec G1, Pagano IS, Yamashiro G, Issell BF.;Research Support, U.S. Gov't, P.H.S.,Adult,Aged,Breast Neoplasms/ethnology*,Breast Neoplasms/pathology,Breast Neoplasms/therapy,Comorbidity,Female,Hawaii/epidemiology,Humans,Insurance Claim Reporting/statistics & numerical data,Middle Aged,Neoplasm Staging,Pilot Projects,Practice Guidelines as Topic,Proportional Hazards Models,Registries,Survival Analysis,N01-PC67001/PC/NCI NIH HHS/United States;;;;;;;;;;;;;;
1;Inference on cancer screening exam accuracy using population-level administrative data.;Abstract This paper develops a model for cancer screening and cancer incidence data, accommodating the partially unobserved disease status, clustered data structures, general covariate effects, and dependence between exams. The true unobserved cancer and detection status of screening participants are treated as latent variables, and a Markov Chain Monte Carlo algorithm is used to estimate the Bayesian posterior distributions of the diagnostic error rates and disease prevalence. We show how the Bayesian approach can be used to draw inferences about screening exam properties and disease prevalence while allowing for the possibility of conditional dependence between two exams. The techniques are applied to the estimation of the diagnostic accuracy of mammography and clinical breast examination using data from the Ontario Breast Screening Program in Canada.;Stat Med. 2016 Jan 15.35(1):130-46. doi: 10.1002/sim.6619. Epub 2015 Aug 16.;Jiang H1, Brown PE1,2,3, Walter SD2.;Research Support, Non-U.S. Gov't,Algorithms,Bayes Theorem,Biostatistics,Breast Neoplasms/diagnosis,Computer Simulation,Early Detection of Cancer/statistics & numerical data*,Female,Humans,Mammography,Markov Chains,Models, Statistical,Monte Carlo Method,Odds Ratio,Ontario,Predictive Value of Tests,Probability;;;;;;;;;;;;;;
0;Indirect calculation of breast tissue impedance values.;Abstract One of the problems facing anyone attempting the investigation of dielectric properties of living tissue is the presence of skin, which screens all that lies under it from direct measurement. Thus, in non-invasive breast examination using transimpedance measurements, skin parameters heavily influence the results, specifically at low (less than 10 kHz) frequencies. In this paper a method for overcoming this difficulty by using multi-frequency measurements obtained from a surface current distribution over a flat probe is described. By using the variation in the shape of the real and imaginary parts of the surface current density at different frequencies, the original dielectric values of the skin and the underlying tissue can be obtained, based on the assumption of the existence of a two-layer geometry, with the upper (skin) layer much thinner than the lower (tissue) layer. The results obtained can be used in the diagnosis of breast cancer using existing transimpedance measurement devices.;Physiol Meas. 2002 Feb.23(1):177-82.;Ultchin Y1, Nachaliel U, Ori A.;Algorithms,Breast/physiology*,Computer Simulation,Electric Impedance*,Female,Humans,Linear Models,Models, Biological,Skin/anatomy & histology;;;;;;;;;;;;;;
1;Incremental net benefit and acceptability of alternative health policies: a case study of mass screening for colorectal cancer.;Abstract The incremental net benefit (INB) and the related acceptability curves for public health programs provide valuable tools for decision making. We proposed to apply them to the assessment of mass screening of colorectal cancer. The now standard guaiac fecal occult blood test (FOBT) is already implemented in several countries. We considered the innovative immunological FOBT and computed tomography colonography (CTC) as competing screening technologies. Using biennial guaiac FOBT as the reference strategy, we estimated the cost-effectiveness of the following alternatives: biennial immunological FOBT, CTC every 5 years (strategy CTC5), and CTC every 10 years (strategy CTC10). Over a 30-year horizon and from the perspective of a third-party payer, we developed a Markov model on a hypothetical cohort of 100,000 subjects at average risk of colorectal cancer. Close expected net benefits between immunological FOBT and CTC5 induced uncertainty in the choice of the optimal strategy. Probabilistic sensibility analysis then suggested that below a willingness to pay (WTP) per life-years gained (LYG) of 8,587 €/LYG, CTC10 was optimal, while CTC5 would be preferred beyond a WTP of 8,587 €/LYG.;Eur J Health Econ. 2012 Jun.13(3):237-50. doi: 10.1007/s10198-011-0300-8. Epub 2011 Feb 9.;Chauvin P1, Josselin JM, Heresbach D.;Research Support, Non-U.S. Gov't,Aged,Aged, 80 and over,Colorectal Neoplasms/diagnosis,Colorectal Neoplasms/economics*,Cost-Benefit Analysis,Decision Making*,Early Detection of Cancer/economics*,Female,France,Health Policy*,Health Status Indicators,Humans,Male,Markov Chains,Middle Aged,Models, Economic,Occult Blood*,Patient Satisfaction,Prevalence,Probability,Public Health/economics*,Risk Assessment/economics,Tomography, X-Ray Computed/economics;;;;;;;;;;;;;;
0;Incidence, mortality and survival from invasive cervical cancer in Vaud, Switzerland, 1974-1991.;Abstract BACKGROUND: Several factors have contributed to the substantial decline in mortality from cervical cancer registered in most areas of the world, i.e., improved sexual hygiene, changes in reproductive factors, cervical screening, and, possibly, improved treatment. Each of these components is evaluated through a systematic inspection of trends in incidence, mortality and survival rates registered for a well-defined population. PATIENTS AND METHODS: Trends in incidence, mortality and survival from invasive cervical cancer over the period 1974-1991 were analysed for three separate age groups (< 55, 55-64, > or = 65 years), histological type and stage using data from the Cancer Registry of the Swiss Canton of Vaud. RESULTS: Below age 55, the age-standardized (world standard) incidence rate was 9.3/100,000 women in 1974-76, it declined steadily thereafter down to 2.9 in 1986-88, but increased to 4.3 in 1989-91. In the age group 55-64, cervical cancer incidence remained around 40/100,000 to the end of the 1970s, but thereafter declined to 10.9 in 1989-91. No consistent trend was observed in elderly women, and the rate in 1989-91 (26.7/100,000) was similar to that in 1974-76 (33.7). The overall age-standardized cervical cancer incidence declined from 13.5/100,000 in 1974-76 to 5.8 in 1986-88, but rose to 6.4 in 1989-91. A similar pattern was observed for mortality, with a fall in rates in younger women between 1974 and 1985 (from 2.1 to 0.6/100,000), and a subsequent rise to 1.1/100,000 in 1989-91. A substantial decline in mortality was observed in women aged 55 to 64 since the early 1980's, from 17.2 in 1980-82 to 3.3 in 1989-91. No clear mortality trend was evident in older women. Overall, cervical cancer mortality declined from 4.3/100,000 in 1974-76 to 2.3 in 1989-91. The five-year relative survival rates were around 0.70-0.75 for younger women, around 0.60 for those aged 55 to 64, and 0.50 for elderly ones. In a Cox proportional hazard model, age and clinical stage were significantly related to survival, but not histological type and calendar period of diagnosis. No substantial change in survival from invasive cervical cancer was observed over the 18-year period considered, nor was there any notable change in the stage distribution over time. The proportion of adenocarcinomas, however, appears to have increased in the most recent calendar period. CONCLUSIONS: These data reflect the impact of screening on cervical cancer rates, which, however, appeared restricted to women below age 65. An upward trend in cervical cancer incidence and mortality rates for younger women was also apparent, and there was no indication from these data of an improved survival for invasive cervical cancer patients over the last two decades. Extention of screening to elderly women appears to be a priority for reducing cervical cancer rates in this population.;Ann Oncol. 1994 Oct.5(8):747-52.;Levi F1, La Vecchia C, Randimbison L, Te VC.;Research Support, Non-U.S. Gov't,Adenocarcinoma/epidemiology,Adenocarcinoma/mortality,Adenocarcinoma/pathology,Aged,Carcinoma, Squamous Cell/epidemiology,Carcinoma, Squamous Cell/mortality,Carcinoma, Squamous Cell/pathology,Epidemiology/trends,Female,Humans,Incidence,Life Tables,Middle Aged,Mortality/trends,Multivariate Analysis,Neoplasm Invasiveness,Proportional Hazards Models,Registries,Survival Rate/trends,Switzerland/epidemiology,Uterine Cervical Neoplasms/epidemiology*,Uterine Cervical Neoplasms/mortality,Uterine Cervical Neoplasms/pathology;;;;;;;;;;;;;;
0;In situ duct carcinoma of the breast: clinical and histopathologic factors and association with recurrent carcinoma.;Abstract There has been a recent increase in the diagnosis of in situ duct carcinoma of the breast (DCIS) as a result of mammographic screening. DCIS is heterogeneous in appearance and likely in prognosis. There is no generally accepted model to predict progression to invasive carcinoma. We investigated the prognostic effect of clinical presentation and pathologic factors for women diagnosed with primary DCIS. A cohort of 124 patients was accrued between 1979 and 1994 and was followed to 1997. 78 had DCIS detected mammographically, and 88 underwent lumpectomy alone. In this article, we provide details about characteristics affecting the choice of primary therapeutic modality, and we examine the effects of factors on progression for the two patient subgroups. Presentation with bloody nipple discharge was associated with a significant increase in DCIS recurrence (p=0.07). The pattern of duct distribution was important: DCIS in which the involved ducts were more widely separated had a significantly greater recurrence of DCIS than when the involved ducts were more concentrated (p=0.08 for mammographically detected DCIS, p=0.07 for patients who underwent lumpectomy alone). For mammographically detected DCIS, younger patients had more DCIS recurrence (p=0.07). We found considerable heterogeneity in nuclear grade. 50% of patients exhibited more than one grade. Nuclear grade, necrosis, and architecture were not significantly associated with either recurrence of DCIS or development of invasive carcinoma. Longer follow-up will allow further evaluation of the prognostic relevance of the factors assessed.;Breast J. 2001 Sep-Oct.7(5):292-302.;Miller NA1, Chapman JA, Fish EB, Link MA, Fishell E, Wright B, Lickley HL, McCready DR, Hanna WM.;Research Support, Non-U.S. Gov't,Adult,Aged,Breast Neoplasms/pathology*,Breast Neoplasms/therapy,Carcinoma, Intraductal, Noninfiltrating/pathology*,Carcinoma, Intraductal, Noninfiltrating/therapy,Cohort Studies,Disease Progression,Disease-Free Survival,Female,Humans,Mammography,Middle Aged,Neoplasm Recurrence, Local/pathology*,Prognosis,Proportional Hazards Models;;;;;;;;;;;;;;
0;In simulation modelling, there are multiple ways to effectively screen for colorectal cancer.;Comment,Colonic Neoplasms,Colorectal Neoplasms*,Humans,Occult Blood*;;;Comment,Colonic Neoplasms,Colorectal Neoplasms*,Humans,Occult Blood*;;;;;;;;;;;;;;
0;Improving the NHS cervical screening laboratory performance indicators by making allowance for population age, risk and screening interval.;Abstract OBJECTIVE: One of the key performance measures in the monitoring of the NHS cervical screening programme is the targeting of laboratories with very high or low percentages (outside the 10th-90th percentile) of adequate smears that have moderate dyskaryosis or worse. These laboratories are assumed to include those laboratories that may have extremes of sensitivity and specificity. A clear limitation with this methodology is that laboratories do not examine smears from women with the same underlying risk, age distribution or screening interval and adjustment for these factors should considerably improve the method. METHODS: This paper describes a method that allows for these confounding variables and a new age-risk-interval adjusted moderate dyskaryosis or worse rate (ARI-adjusted mod+ rate) can be calculated. The adjusted rate is the rate of moderate or worse dyskaryotic smears that the laboratory would have detected had it been screening women with an English 'average' age-risk-interval. All laboratories can therefore be compared using this method. RESULTS: The methodology is illustrated using data from the NHSCSP South West Region. The particularly low percentage of moderate or worse smears detected by one or two laboratories can be shown to be due to a local screened population with a very low risk because of a high mean age, relatively short screening interval and census variables associated with a low risk, rather than any under-calling by the associated laboratories. CONCLUSIONS: The ARI-adjusted mod+ rate requires to be calculated for all laboratories in England if it is to be used as a primary performance indicator. Alternatively, it can be used to further examine laboratories that are deemed to be outliers using the current methodology.;Cytopathology. 2006 Dec.17(6):323-38.;Blanks RG1, Moss SM, Denton K.;Adult,Age Factors,Cervical Intraepithelial Neoplasia/diagnosis*,Female,Humans,Mass Screening/methods,Mass Screening/standards,Middle Aged,Models, Statistical,Risk Factors,State Medicine,United Kingdom,Uterine Cervical Neoplasms/diagnosis*,Vaginal Smears/methods*,Vaginal Smears/standards*;;;;;;;;;;;;;;
